NumDots,SubdomainLevel,PathLevel,UrlLength,NumDashInHostname,AtSymbol,NumUnderscore,NumPercent,NumAmpersand,NumHash,NumNumericChars,NoHttps,PathLength,IpAddress,TildeSymbol,HostnameLength,DoubleSlashInPath,QueryLength,NumQueryComponents,FrequentDomainNameMismatch,NumSensitiveWords,NumDash,DomainInSubdomains,DomainInPaths,HttpsInHostname,RatioNum2Let,noOfBrackets,NonASCIIChar,RatioSubdomain2Domain,ExeSubdomain,Label
2,2,2,37,0,0,0,0,0,0,0,0,11,0,0,18,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0909090909090909,0,0
1,1,2,30,0,0,0,0,0,0,0,1,9,0,0,14,0,0,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0
2,2,2,60,1,0,0,0,0,0,0,0,32,0,0,20,0,0,1,1,1,4,0,0,0,0.0,0,0,0.0833333333333333,0,0
2,2,2,46,0,0,0,0,0,0,0,0,24,0,0,14,0,0,1,1,1,1,0,0,0,0.0,0,0,0.1666666666666666,0,0
2,2,2,49,0,0,0,0,0,0,0,0,19,0,0,22,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0714285714285714,0,0
2,2,3,62,0,0,0,0,0,0,0,0,26,0,0,28,0,0,1,1,1,1,0,0,0,0.0,0,0,0.05,0,0
2,2,1,22,1,0,0,0,0,0,0,0,1,0,0,13,0,0,1,1,1,1,0,0,0,0.0,0,0,0.1666666666666666,0,0
2,2,1,39,0,0,0,0,0,0,0,0,8,0,0,23,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0666666666666666,0,0
2,2,2,57,0,0,0,0,0,0,0,0,22,0,0,27,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0526315789473684,0,0
2,2,2,39,0,0,0,0,0,0,0,0,16,0,0,15,0,0,1,1,2,0,0,0,0,0.0,0,0,0.125,0,0
2,2,3,104,0,0,0,0,0,0,2,0,84,0,0,12,0,0,1,1,1,13,0,0,0,0.0246913580246913,0,0,0.25,0,0
2,2,2,39,0,0,0,0,0,0,0,0,14,0,0,17,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1111111111111111,0,0
2,2,1,43,2,0,0,0,0,0,0,0,12,0,0,23,0,0,1,1,1,3,0,0,0,0.0,0,0,0.0666666666666666,0,0
2,2,1,26,0,0,0,0,0,0,0,0,1,0,0,17,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1111111111111111,0,0
